[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[09:24:52 | 16-02-2025] Transfer Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:24:55 | 16-02-2025] Bridge Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:19:34 | 17-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x34598f546ff3aa54dbfc0439ae2e7a3008738335f6f26a37a835577bfa5ccea0
[09:20:01 | 17-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xaec5b510eb70707e57781ba5c5aa0aae2aeceb7f182aa7ec9ce9471589724726
[09:23:05 | 17-02-2025] Transfer Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:23:08 | 17-02-2025] Bridge Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
[09:15:51 | 18-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x0fbda668af942c440ca1cde62892ceffad961da9636b149165ad4a80ec573ac9
[09:16:02 | 18-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x9681e3ee471c8417f37fedfa3d35a4efbfc7215da33dad3b0b792e7048e7f5e3
[09:19:05 | 18-02-2025] Transfer Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:19:08 | 18-02-2025] Bridge Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:17:18 | 19-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xe127968d690133eec182c3e75f18bd5b00cb2058d42781a160508a64c6079a0e
[09:17:24 | 19-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc4cee0f8175eeb3b2719f7f61a802eae28d809208871cdeac37a596b84f98908
[09:20:28 | 19-02-2025] Transfer Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:20:31 | 19-02-2025] Bridge Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:17:30 | 20-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x12966b522cc9465711f30c6f50d10e6173482bec2a8ed84f41cd3ab062fb0da4
[09:17:37 | 20-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x4081fe6525280cbb741a94dc06b80170807053a1caf6ab69e8d6692e29779f5d
[09:20:41 | 20-02-2025] Transfer Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:20:44 | 20-02-2025] Bridge Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:17:49 | 21-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xe6ce7e1c0df6cab169b33aa6e7c96a544c4d92106a1eda9ecdbfe5f05fff2f58
[09:18:00 | 21-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x18cebf9e5138266fcfdd4e6b9d99a21fa734717beeb83e85a245b0fd5faaee84
[09:21:04 | 21-02-2025] Transfer Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:21:06 | 21-02-2025] Bridge Task successful for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae
Error:
[09:13:49 | 22-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x8a98618f5a8fb91f32feade821cfa1882bbdfae323fc5858e087e1343440542f
[09:16:52 | 22-02-2025] Transfer Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
[09:16:55 | 22-02-2025] Bridge Task failed for 0xCD2ce299f505C01C9C058Bc314CF8F36bF3D97ae: Request failed with status code 400
